StringID   Type       x          y          demand     ReadyTime  DueDate    ServiceTime 
D0         d          40.0       50.0       0.0        0.0        3390.0     0.0        
S0         f          40.0       50.0       0.0        0.0        3390.0     0.0        
S1         f          73.0       52.0       0.0        0.0        3390.0     0.0        
S2         f          90.0       55.0       0.0        0.0        3390.0     0.0        
S3         f          55.0       79.0       0.0        0.0        3390.0     0.0        
S4         f          69.0       89.0       0.0        0.0        3390.0     0.0        
S5         f          32.0       80.0       0.0        0.0        3390.0     0.0        
S6         f          39.0       96.0       0.0        0.0        3390.0     0.0        
S7         f          23.0       80.0       0.0        0.0        3390.0     0.0        
S8         f          4.0        83.0       0.0        0.0        3390.0     0.0        
S9         f          18.0       58.0       0.0        0.0        3390.0     0.0        
S10        f          1.0        56.0       0.0        0.0        3390.0     0.0        
S11        f          13.0       31.0       0.0        0.0        3390.0     0.0        
S12        f          -5.0       38.0       0.0        0.0        3390.0     0.0        
S13        f          26.0       37.0       0.0        0.0        3390.0     0.0        
S14        f          28.0       13.0       0.0        0.0        3390.0     0.0        
S15        f          39.0       31.0       0.0        0.0        3390.0     0.0        
S16        f          48.0       11.0       0.0        0.0        3390.0     0.0        
S17        f          59.0       17.0       0.0        0.0        3390.0     0.0        
S18        f          73.0       23.0       0.0        0.0        3390.0     0.0        
S19        f          74.0       32.0       0.0        0.0        3390.0     0.0        
S20        f          90.0       44.0       0.0        0.0        3390.0     0.0        
C1         c          52.0       75.0       10.0       986.0      1146.0     90.0       
C2         c          45.0       70.0       30.0       1084.0     1244.0     90.0       
C3         c          62.0       69.0       10.0       130.0      290.0      90.0       
C4         c          60.0       66.0       10.0       36.0       196.0      90.0       
C5         c          42.0       65.0       10.0       0.0        3284.0     90.0       
C6         c          16.0       42.0       20.0       2544.0     2704.0     90.0       
C7         c          58.0       70.0       20.0       224.0      384.0      90.0       
C8         c          34.0       60.0       20.0       12.0       172.0      90.0       
C9         c          28.0       70.0       10.0       218.0      378.0      90.0       
C10        c          35.0       66.0       10.0       28.0       188.0      90.0       
C11        c          35.0       69.0       10.0       121.0      281.0      90.0       
C12        c          25.0       85.0       20.0       0.0        3261.0     90.0       
C13        c          22.0       75.0       30.0       316.0      476.0      90.0       
C14        c          22.0       85.0       10.0       601.0      761.0      90.0       
C15        c          20.0       80.0       40.0       411.0      571.0      90.0       
C16        c          20.0       85.0       40.0       693.0      853.0      90.0       
C17        c          18.0       75.0       20.0       0.0        3266.0     90.0       
C18        c          15.0       75.0       20.0       885.0      1045.0     90.0       
C19        c          15.0       80.0       10.0       0.0        3260.0     90.0       
C20        c          30.0       50.0       10.0       3020.0     3180.0     90.0       
C21        c          30.0       56.0       20.0       3128.0     3288.0     90.0       
C22        c          28.0       52.0       20.0       3112.0     3272.0     90.0       
C23        c          14.0       66.0       10.0       1176.0     1336.0     90.0       
C24        c          25.0       50.0       10.0       2925.0     3085.0     90.0       
C25        c          22.0       66.0       40.0       1078.0     1238.0     90.0       
C26        c          8.0        62.0       10.0       0.0        3265.0     90.0       
C27        c          23.0       52.0       10.0       2832.0     2992.0     90.0       
C28        c          4.0        55.0       20.0       1593.0     1753.0     90.0       
C29        c          20.0       50.0       10.0       2642.0     2802.0     90.0       
