StringID   Type       x          y          demand     ReadyTime  DueDate    ServiceTime 
D0         d          40.0       50.0       0.0        0.0        960.0      0.0        
S0         f          40.0       50.0       0.0        0.0        960.0      0.0        
S1         f          73.0       52.0       0.0        0.0        960.0      0.0        
S2         f          90.0       55.0       0.0        0.0        960.0      0.0        
S3         f          55.0       79.0       0.0        0.0        960.0      0.0        
S4         f          69.0       89.0       0.0        0.0        960.0      0.0        
S5         f          32.0       80.0       0.0        0.0        960.0      0.0        
S6         f          39.0       96.0       0.0        0.0        960.0      0.0        
S7         f          23.0       80.0       0.0        0.0        960.0      0.0        
S8         f          4.0        83.0       0.0        0.0        960.0      0.0        
S9         f          18.0       58.0       0.0        0.0        960.0      0.0        
S10        f          1.0        56.0       0.0        0.0        960.0      0.0        
S11        f          13.0       31.0       0.0        0.0        960.0      0.0        
S12        f          -5.0       38.0       0.0        0.0        960.0      0.0        
S13        f          26.0       37.0       0.0        0.0        960.0      0.0        
S14        f          28.0       13.0       0.0        0.0        960.0      0.0        
S15        f          39.0       31.0       0.0        0.0        960.0      0.0        
S16        f          48.0       11.0       0.0        0.0        960.0      0.0        
S17        f          59.0       17.0       0.0        0.0        960.0      0.0        
S18        f          73.0       23.0       0.0        0.0        960.0      0.0        
S19        f          74.0       32.0       0.0        0.0        960.0      0.0        
S20        f          90.0       44.0       0.0        0.0        960.0      0.0        
C1         c          25.0       85.0       20.0       254.0      466.0      10.0       
C2         c          22.0       75.0       30.0       31.0       494.0      10.0       
C3         c          22.0       85.0       10.0       48.0       748.0      10.0       
C4         c          20.0       80.0       40.0       681.0      863.0      10.0       
C5         c          20.0       85.0       20.0       395.0      909.0      10.0       
C6         c          18.0       75.0       20.0       77.0       559.0      10.0       
C7         c          15.0       75.0       20.0       95.0       283.0      10.0       
C8         c          15.0       80.0       10.0       316.0      684.0      10.0       
C9         c          10.0       35.0       20.0       475.0      916.0      10.0       
C10        c          10.0       40.0       30.0       317.0      615.0      10.0       
C11        c          8.0        40.0       40.0       284.0      638.0      10.0       
C12        c          8.0        45.0       20.0       711.0      917.0      10.0       
C13        c          5.0        35.0       10.0       39.0       393.0      10.0       
C14        c          5.0        45.0       10.0       61.0       455.0      10.0       
C15        c          2.0        40.0       20.0       648.0      910.0      10.0       
C16        c          0.0        40.0       20.0       42.0       464.0      10.0       
C17        c          0.0        45.0       20.0       93.0       379.0      10.0       
C18        c          44.0       5.0        20.0       590.0      904.0      10.0       
C19        c          42.0       10.0       40.0       41.0       432.0      10.0       
C20        c          42.0       15.0       10.0       153.0      383.0      10.0       
C21        c          40.0       5.0        10.0       355.0      809.0      10.0       
C22        c          40.0       15.0       40.0       503.0      859.0      10.0       
C23        c          38.0       5.0        30.0       46.0       634.0      10.0       
C24        c          38.0       15.0       10.0       64.0       378.0      10.0       
C25        c          35.0       5.0        20.0       46.0       370.0      10.0       
C26        c          95.0       30.0       30.0       543.0      891.0      10.0       
C27        c          95.0       35.0       20.0       309.0      892.0      10.0       
C28        c          92.0       30.0       10.0       56.0       478.0      10.0       
C29        c          90.0       35.0       10.0       401.0      721.0      10.0       
C30        c          88.0       30.0       10.0       324.0      628.0      10.0       
C31        c          88.0       35.0       20.0       151.0      899.0      10.0       
C32        c          87.0       30.0       10.0       52.0       403.0      10.0       
C33        c          85.0       25.0       10.0       389.0      898.0      10.0       
C34        c          85.0       35.0       30.0       48.0       435.0      10.0       
C35        c          67.0       85.0       20.0       361.0      905.0      10.0       
C36        c          65.0       85.0       40.0       392.0      762.0      10.0       
C37        c          65.0       82.0       10.0       41.0       627.0      10.0       
C38        c          62.0       80.0       30.0       38.0       495.0      10.0       
C39        c          60.0       80.0       10.0       415.0      913.0      10.0       
C40        c          60.0       85.0       30.0       443.0      701.0      10.0       
C41        c          58.0       75.0       20.0       122.0      512.0      10.0       
C42        c          55.0       80.0       10.0       480.0      680.0      10.0       
C43        c          55.0       85.0       20.0       39.0       620.0      10.0       
C44        c          55.0       82.0       10.0       304.0      716.0      10.0       
C45        c          20.0       82.0       10.0       318.0      912.0      10.0       
C46        c          18.0       80.0       10.0       498.0      912.0      10.0       
C47        c          2.0        45.0       10.0       95.0       543.0      10.0       
C48        c          42.0       5.0        10.0       46.0       474.0      10.0       
C49        c          42.0       12.0       10.0       87.0       449.0      10.0       
C50        c          72.0       35.0       30.0       673.0      914.0      10.0       
C51        c          55.0       20.0       19.0       346.0      738.0      10.0       
C52        c          25.0       30.0       3.0        360.0      866.0      10.0       
C53        c          20.0       50.0       5.0        136.0      518.0      10.0       
C54        c          55.0       60.0       16.0       439.0      795.0      10.0       
C55        c          30.0       60.0       16.0       379.0      935.0      10.0       
C56        c          50.0       35.0       19.0       19.0       499.0      10.0       
C57        c          30.0       25.0       23.0       117.0      455.0      10.0       
C58        c          15.0       10.0       20.0       334.0      672.0      10.0       
C59        c          10.0       20.0       19.0       536.0      894.0      10.0       
C60        c          15.0       60.0       17.0       27.0       429.0      10.0       
C61        c          45.0       65.0       9.0        175.0      934.0      10.0       
C62        c          65.0       35.0       3.0        30.0       396.0      10.0       
C63        c          65.0       20.0       6.0        111.0      641.0      10.0       
C64        c          45.0       30.0       17.0       547.0      829.0      10.0       
C65        c          35.0       40.0       16.0       12.0       292.0      10.0       
C66        c          41.0       37.0       16.0       409.0      879.0      10.0       
C67        c          64.0       42.0       9.0        26.0       415.0      10.0       
C68        c          40.0       60.0       21.0       479.0      940.0      10.0       
C69        c          31.0       52.0       27.0       10.0       379.0      10.0       
C70        c          35.0       69.0       23.0       326.0      590.0      10.0       
C71        c          65.0       55.0       14.0       707.0      924.0      10.0       
C72        c          63.0       65.0       8.0        161.0      621.0      10.0       
C73        c          2.0        60.0       5.0        248.0      452.0      10.0       
C74        c          20.0       20.0       8.0        661.0      913.0      10.0       
C75        c          5.0        5.0        16.0       311.0      577.0      10.0       
C76        c          60.0       12.0       31.0       43.0       429.0      10.0       
C77        c          23.0       3.0        7.0        50.0       471.0      10.0       
C78        c          8.0        56.0       27.0       118.0      706.0      10.0       
C79        c          6.0        68.0       30.0       39.0       402.0      10.0       
C80        c          47.0       47.0       13.0       150.0      668.0      10.0       
C81        c          49.0       58.0       10.0       627.0      937.0      10.0       
C82        c          27.0       43.0       9.0        423.0      715.0      10.0       
C83        c          37.0       31.0       14.0       294.0      692.0      10.0       
C84        c          57.0       29.0       18.0       512.0      922.0      10.0       
C85        c          63.0       23.0       2.0        36.0       676.0      10.0       
C86        c          21.0       24.0       28.0       358.0      508.0      10.0       
C87        c          12.0       24.0       13.0       427.0      455.0      10.0       
C88        c          24.0       58.0       19.0       395.0      847.0      10.0       
C89        c          67.0       5.0        25.0       437.0      897.0      10.0       
C90        c          37.0       47.0       6.0        5.0        290.0      10.0       
C91        c          49.0       42.0       13.0       254.0      744.0      10.0       
C92        c          53.0       43.0       14.0       361.0      935.0      10.0       
