StringID   Type       x          y          demand     ReadyTime  DueDate    ServiceTime 
D0         d          40.0       50.0       0.0        0.0        960.0      0.0        
S0         f          40.0       50.0       0.0        0.0        960.0      0.0        
S1         f          73.0       52.0       0.0        0.0        960.0      0.0        
S2         f          90.0       55.0       0.0        0.0        960.0      0.0        
S3         f          55.0       79.0       0.0        0.0        960.0      0.0        
S4         f          69.0       89.0       0.0        0.0        960.0      0.0        
S5         f          32.0       80.0       0.0        0.0        960.0      0.0        
S6         f          39.0       96.0       0.0        0.0        960.0      0.0        
S7         f          23.0       80.0       0.0        0.0        960.0      0.0        
S8         f          4.0        83.0       0.0        0.0        960.0      0.0        
S9         f          18.0       58.0       0.0        0.0        960.0      0.0        
S10        f          1.0        56.0       0.0        0.0        960.0      0.0        
S11        f          13.0       31.0       0.0        0.0        960.0      0.0        
S12        f          -5.0       38.0       0.0        0.0        960.0      0.0        
S13        f          26.0       37.0       0.0        0.0        960.0      0.0        
S14        f          28.0       13.0       0.0        0.0        960.0      0.0        
S15        f          39.0       31.0       0.0        0.0        960.0      0.0        
S16        f          48.0       11.0       0.0        0.0        960.0      0.0        
S17        f          59.0       17.0       0.0        0.0        960.0      0.0        
S18        f          73.0       23.0       0.0        0.0        960.0      0.0        
S19        f          74.0       32.0       0.0        0.0        960.0      0.0        
S20        f          90.0       44.0       0.0        0.0        960.0      0.0        
C1         c          25.0       85.0       20.0       319.0      401.0      10.0       
C2         c          22.0       75.0       30.0       31.0       364.0      10.0       
C3         c          22.0       85.0       10.0       113.0      683.0      10.0       
C4         c          20.0       80.0       40.0       746.0      798.0      10.0       
C5         c          20.0       85.0       20.0       525.0      909.0      10.0       
C6         c          18.0       75.0       20.0       142.0      494.0      10.0       
C7         c          15.0       75.0       20.0       160.0      218.0      10.0       
C8         c          15.0       80.0       10.0       381.0      619.0      10.0       
C9         c          10.0       35.0       20.0       559.0      869.0      10.0       
C10        c          10.0       40.0       30.0       382.0      550.0      10.0       
C11        c          8.0        40.0       40.0       349.0      573.0      10.0       
C12        c          8.0        45.0       20.0       841.0      917.0      10.0       
C13        c          5.0        35.0       10.0       39.0       263.0      10.0       
C14        c          5.0        45.0       10.0       126.0      390.0      10.0       
C15        c          2.0        40.0       20.0       742.0      874.0      10.0       
C16        c          0.0        40.0       20.0       94.0       386.0      10.0       
C17        c          0.0        45.0       20.0       158.0      314.0      10.0       
C18        c          44.0       5.0        20.0       720.0      904.0      10.0       
C19        c          42.0       10.0       40.0       41.0       302.0      10.0       
C20        c          42.0       15.0       10.0       218.0      318.0      10.0       
C21        c          40.0       5.0        10.0       420.0      744.0      10.0       
C22        c          40.0       15.0       40.0       568.0      794.0      10.0       
C23        c          38.0       5.0        30.0       100.0      558.0      10.0       
C24        c          38.0       15.0       10.0       129.0      313.0      10.0       
C25        c          35.0       5.0        20.0       46.0       240.0      10.0       
C26        c          95.0       30.0       30.0       673.0      891.0      10.0       
C27        c          95.0       35.0       20.0       439.0      892.0      10.0       
C28        c          92.0       30.0       10.0       67.0       359.0      10.0       
C29        c          90.0       35.0       10.0       466.0      656.0      10.0       
C30        c          88.0       30.0       10.0       389.0      563.0      10.0       
C31        c          88.0       35.0       20.0       281.0      899.0      10.0       
C32        c          87.0       30.0       10.0       79.0       299.0      10.0       
C33        c          85.0       25.0       10.0       519.0      898.0      10.0       
C34        c          85.0       35.0       30.0       48.0       305.0      10.0       
C35        c          67.0       85.0       20.0       491.0      905.0      10.0       
C36        c          65.0       85.0       40.0       457.0      697.0      10.0       
C37        c          65.0       82.0       10.0       84.0       540.0      10.0       
C38        c          62.0       80.0       30.0       38.0       365.0      10.0       
C39        c          60.0       80.0       10.0       545.0      913.0      10.0       
C40        c          60.0       85.0       30.0       508.0      636.0      10.0       
C41        c          58.0       75.0       20.0       187.0      447.0      10.0       
C42        c          55.0       80.0       10.0       545.0      615.0      10.0       
C43        c          55.0       85.0       20.0       39.0       490.0      10.0       
C44        c          55.0       82.0       10.0       369.0      651.0      10.0       
C45        c          20.0       82.0       10.0       448.0      912.0      10.0       
C46        c          18.0       80.0       10.0       628.0      912.0      10.0       
C47        c          2.0        45.0       10.0       160.0      478.0      10.0       
C48        c          42.0       5.0        10.0       46.0       344.0      10.0       
C49        c          42.0       12.0       10.0       152.0      384.0      10.0       
C50        c          72.0       35.0       30.0       741.0      851.0      10.0       
C51        c          55.0       20.0       19.0       411.0      673.0      10.0       
C52        c          25.0       30.0       3.0        425.0      801.0      10.0       
C53        c          20.0       50.0       5.0        201.0      453.0      10.0       
C54        c          55.0       60.0       16.0       504.0      730.0      10.0       
C55        c          30.0       60.0       16.0       508.0      934.0      10.0       
C56        c          50.0       35.0       19.0       69.0       419.0      10.0       
C57        c          30.0       25.0       23.0       182.0      390.0      10.0       
C58        c          15.0       10.0       20.0       399.0      607.0      10.0       
C59        c          10.0       20.0       19.0       601.0      829.0      10.0       
C60        c          15.0       60.0       17.0       27.0       299.0      10.0       
C61        c          45.0       65.0       9.0        305.0      934.0      10.0       
C62        c          65.0       35.0       3.0        80.0       316.0      10.0       
C63        c          65.0       20.0       6.0        176.0      576.0      10.0       
C64        c          45.0       30.0       17.0       612.0      764.0      10.0       
C65        c          35.0       40.0       16.0       13.0       163.0      10.0       
C66        c          41.0       37.0       16.0       474.0      814.0      10.0       
C67        c          64.0       42.0       9.0        26.0       285.0      10.0       
C68        c          40.0       60.0       21.0       609.0      940.0      10.0       
C69        c          31.0       52.0       27.0       10.0       249.0      10.0       
C70        c          35.0       69.0       23.0       391.0      525.0      10.0       
C71        c          65.0       55.0       14.0       812.0      898.0      10.0       
C72        c          63.0       65.0       8.0        226.0      556.0      10.0       
C73        c          2.0        60.0       5.0        313.0      387.0      10.0       
C74        c          20.0       20.0       8.0        791.0      913.0      10.0       
C75        c          5.0        5.0        16.0       376.0      512.0      10.0       
C76        c          60.0       12.0       31.0       43.0       299.0      10.0       
C77        c          23.0       3.0        7.0        50.0       341.0      10.0       
C78        c          8.0        56.0       27.0       183.0      641.0      10.0       
C79        c          6.0        68.0       30.0       39.0       272.0      10.0       
C80        c          47.0       47.0       13.0       215.0      603.0      10.0       
C81        c          49.0       58.0       10.0       754.0      934.0      10.0       
C82        c          27.0       43.0       9.0        488.0      650.0      10.0       
C83        c          37.0       31.0       14.0       359.0      627.0      10.0       
C84        c          57.0       29.0       18.0       642.0      922.0      10.0       
C85        c          63.0       23.0       2.0        36.0       546.0      10.0       
C86        c          21.0       24.0       28.0       423.0      443.0      10.0       
C87        c          12.0       24.0       13.0       441.0      441.0      10.0       
C88        c          24.0       58.0       19.0       460.0      782.0      10.0       
C89        c          67.0       5.0        25.0       567.0      897.0      10.0       
C90        c          37.0       47.0       6.0        63.0       217.0      10.0       
C91        c          49.0       42.0       13.0       319.0      679.0      10.0       
C92        c          53.0       43.0       14.0       491.0      935.0      10.0       
